Horodateur,What is the preferred programming language?,What are the preferred  Front-end frameworks and libraries?,What are the preferred  Back-end frameworks and libraries?,What is the preferred IDE and code editor?
22/12/2023 17:55:50,python,angular,spring,intellij
22/12/2023 18:20:13,Python,React,Laravel ,vscode
22/12/2023 18:20:41,Python,React,Spring,vscode
22/12/2023 18:30:20,Python,React,Laravel,vscode
22/12/2023 18:30:20,Python,Angular,Laravel,vscode
22/12/2023 18:32:06,Java,"Angular","Node","IntelliJ"
22/12/2023 18:32:06,Java,"React","Spring","vscode"
22/12/2023 18:36:15,Python,React,Node,vscode
22/12/2023 18:41:41,java,angular,spring,intellij
22/12/2023 18:41:41,java,angular,spring,vscode
22/12/2023 19:50:12,Javascript ,React,Nest ,vscode
22/12/2023 20:51:31,Java,"Vue",Spring,vscode
22/12/2023 20:51:31,Java,react,Spring,vscode
22/12/2023 20:58:33,JAVA,angular,Spring,Eclipse
22/12/2023 22:52:07,"Python","react","Spring","WebStorm"
22/12/2023 22:52:07,"java","Angular","node","IntelliJ"
23/12/2023 17:25:07,Java,react ,Spring ,Intellij 
23/12/2023 17:25:17,Python,React,Spring,vscode
25/12/2023 13:20:51,Java,Angular,Spring,Intellij
25/12/2023 13:20:51,Java,React,Spring,Intellij
25/12/2023 13:23:58,Python,streamlit,streamlit,Spyder
25/12/2023 13:26:20,"python","Angular","Spring",vscode
25/12/2023 13:26:20,"python","React","Django",vscode
25/12/2023 15:35:06,Python ,React ,Laravel ,vscode
25/12/2023 21:22:46,python , angular,Laravel,vscode
27/12/2023 09:03:59,Python,Angular,Spring ,IntelliJ 