Individu,genre,dose,score
1.00,1.00,1.00,6.00
2.00,1.00,1.00,6.00
3.00,1.00,1.00,3.00
4.00,1.00,1.00,5.00
5.00,1.00,1.00,6.00
6.00,1.00,1.00,4.00
7.00,1.00,1.00,5.00
8.00,1.00,1.00,4.00
9.00,1.00,1.00,4.00
10.00,1.00,1.00,5.00
11.00,1.00,1.00,4.00
12.00,1.00,1.00,3.00
13.00,1.00,2.00,6.00
14.00,1.00,2.00,8.00
15.00,1.00,2.00,7.00
16.00,1.00,2.00,8.00
17.00,1.00,2.00,6.00
18.00,1.00,2.00,8.00
19.00,1.00,2.00,8.00
20.00,1.00,2.00,6.00
21.00,1.00,2.00,7.00
22.00,1.00,2.00,8.00
23.00,1.00,2.00,6.00
24.00,1.00,2.00,7.00
25.00,2.00,1.00,2.00
26.00,2.00,1.00,5.00
27.00,2.00,1.00,2.00
28.00,2.00,1.00,4.00
29.00,2.00,1.00,5.00
30.00,2.00,1.00,7.00
31.00,2.00,1.00,4.00
32.00,2.00,1.00,1.00
33.00,2.00,1.00,2.00
34.00,2.00,1.00,7.00
35.00,2.00,1.00,4.00
36.00,2.00,1.00,.00
37.00,2.00,2.00,2.00
38.00,2.00,2.00,3.00
39.00,2.00,2.00,4.00
40.00,2.00,2.00,.00
41.00,2.00,2.00,.00
42.00,2.00,2.00,1.00
43.00,2.00,2.00,2.00
44.00,2.00,2.00,2.00
45.00,2.00,2.00,4.00
46.00,2.00,2.00,3.00
47.00,2.00,2.00,6.00
48.00,2.00,2.00,3.00